@RELATION bitcoin_clustering

@ATTRIBUTE open_price NUMERIC
@ATTRIBUTE high_price NUMERIC
@ATTRIBUTE low_price NUMERIC
@ATTRIBUTE close_price NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
137688000.0,138063000.0,137550000.0,137808000.0,165.45406761
137807000.0,138100000.0,137680000.0,138097000.0,189.82582825
138097000.0,138770000.0,137951000.0,138489000.0,452.31354799
138480000.0,138600000.0,138120000.0,138263000.0,219.52416763
138263000.0,138424000.0,137719000.0,138396000.0,220.50365468
138395000.0,138424000.0,137744000.0,137859000.0,179.98896153
137826000.0,138099000.0,137738000.0,137830000.0,170.69374883
137835000.0,138230000.0,137455000.0,137620000.0,329.02741129
137625000.0,137711000.0,129500000.0,135899000.0,2770.72033271
135899000.0,136500000.0,135001000.0,135059000.0,583.49847857
135019000.0,137717000.0,134958000.0,137538000.0,506.47739925
137533000.0,137533000.0,136670000.0,137233000.0,187.05835734
137233000.0,137523000.0,137000000.0,137303000.0,138.10414741
137295000.0,137998000.0,137185000.0,137998000.0,128.93366851
137998000.0,138500000.0,137675000.0,137934000.0,225.06734327
137920000.0,138333000.0,137612000.0,137827000.0,99.52917813
137827000.0,137928000.0,137350000.0,137600000.0,103.09002452
137600000.0,137751000.0,136343000.0,137100000.0,307.69976138
137100000.0,137251000.0,136800000.0,136879000.0,192.39856057
136879000.0,136886000.0,135999000.0,136515000.0,461.34130044
136515000.0,136531000.0,135928000.0,136531000.0,327.7752342
136531000.0,136531000.0,135935000.0,136016000.0,230.85244552
136003000.0,136695000.0,136000000.0,136361000.0,152.95081047
136361000.0,136370000.0,135609000.0,136175000.0,312.39196375
136175000.0,136192000.0,135886000.0,136084000.0,131.00203649
136085000.0,136194000.0,135881000.0,135920000.0,129.94540674
135920000.0,136060000.0,135747000.0,136025000.0,128.57330753
136025000.0,136065000.0,135550000.0,135783000.0,192.77559878
135782000.0,135841000.0,135567000.0,135664000.0,125.94138209
135664000.0,135870000.0,135598000.0,135819000.0,111.19440573
135818000.0,136347000.0,135811000.0,136002000.0,188.39332368
136002000.0,136349000.0,135946000.0,136310000.0,157.41080715
136311000.0,137178000.0,135951000.0,135954000.0,349.78736007
135953000.0,136291000.0,135730000.0,135917000.0,260.94136114
135922000.0,136000000.0,135001000.0,135200000.0,355.89199663
135200000.0,136032000.0,134195000.0,135728000.0,462.00683775
135750000.0,136129000.0,135000000.0,135941000.0,165.02752942
135941000.0,135995000.0,135610000.0,135974000.0,61.44099238
135974000.0,135978000.0,135458000.0,135819000.0,57.13208996
135819000.0,136000000.0,135284000.0,136000000.0,81.69399772
136000000.0,136405000.0,135869000.0,136386000.0,93.08517835
136386000.0,136401000.0,135864000.0,135987000.0,110.27674595
135951000.0,136124000.0,135801000.0,136000000.0,127.77027349
136000000.0,136816000.0,135750000.0,136480000.0,306.42917925
136480000.0,136820000.0,136440000.0,136550000.0,145.67965985
136550000.0,136699000.0,136160000.0,136160000.0,187.81591833
136161000.0,136488000.0,136070000.0,136208000.0,149.00142927
136166000.0,136397000.0,135550000.0,136395000.0,209.70381913
136396000.0,136397000.0,135677000.0,136276000.0,139.05909303
136276000.0,136320000.0,135934000.0,136233000.0,123.7053377
136250000.0,136251000.0,135978000.0,136069000.0,82.86685005
136067000.0,136111000.0,135570000.0,135961000.0,132.91360777
135961000.0,136200000.0,135700000.0,135700000.0,132.46218466
135700000.0,135701000.0,134200000.0,134799000.0,400.87080964
134799000.0,134799000.0,133000000.0,133250000.0,808.24983653
133250000.0,134159000.0,131501000.0,132998000.0,1143.34869292
132999000.0,135071000.0,132787000.0,134332000.0,614.18798088
134332000.0,134333000.0,133000000.0,133870000.0,267.12902238
133870000.0,133910000.0,132300000.0,132301000.0,229.77914098
132301000.0,133788000.0,132197000.0,133205000.0,172.3742735
133205000.0,133216000.0,132615000.0,132846000.0,74.61703324
132846000.0,133418000.0,132667000.0,133324000.0,44.81395667
133323000.0,133324000.0,132672000.0,133203000.0,43.16262665
133203000.0,134279000.0,133030000.0,134242000.0,81.52823879
134242000.0,135000000.0,133926000.0,134989000.0,165.90880738
134989000.0,136365000.0,134950000.0,136352000.0,348.91093544
136352000.0,137000000.0,135345000.0,136096000.0,362.09302451
136110000.0,136169000.0,134300000.0,135200000.0,343.0201633
135199000.0,135205000.0,133710000.0,134635000.0,224.4203098
134636000.0,135245000.0,134239000.0,134297000.0,104.02239945
134297000.0,135095000.0,134283000.0,134995000.0,107.75322723
134990000.0,135200000.0,134660000.0,134900000.0,108.15404906
134958000.0,135402000.0,134873000.0,134969000.0,92.68660838
134968000.0,135478000.0,134968000.0,135150000.0,89.72776056
135150000.0,135400000.0,134890000.0,135279000.0,96.84476352
135278000.0,135400000.0,135067000.0,135232000.0,84.42765544
135233000.0,136075000.0,135197000.0,135413000.0,199.39812416
135413000.0,136030000.0,134959000.0,135500000.0,197.6717862
135479000.0,135937000.0,134787000.0,135015000.0,182.23318865
135015000.0,135375000.0,134874000.0,135009000.0,106.83568448
135010000.0,135147000.0,134200000.0,134647000.0,195.03380867
134647000.0,134907000.0,133000000.0,133003000.0,338.25731671
133003000.0,134200000.0,132180000.0,133310000.0,523.16553224
133311000.0,134034000.0,133160000.0,133366000.0,145.84968354
133366000.0,133420000.0,132360000.0,133150000.0,133.17799016
133070000.0,133715000.0,132550000.0,132723000.0,80.2092522
132702000.0,133093000.0,132200000.0,132300000.0,127.62880439
132300000.0,133027000.0,132200000.0,132616000.0,116.76146536
132616000.0,132791000.0,131000000.0,131170000.0,388.34754091
131206000.0,132186000.0,130000000.0,132100000.0,808.34767979
132105000.0,132172000.0,129688000.0,129791000.0,553.76458997
129791000.0,131962000.0,129072000.0,130500000.0,688.73259411
130543000.0,132579000.0,130499000.0,132415000.0,317.48161822
132415000.0,132552000.0,131417000.0,131597000.0,197.56383208
131597000.0,131800000.0,130986000.0,131220000.0,131.63262699
131268000.0,131268000.0,130736000.0,130842000.0,139.55306498
130876000.0,131503000.0,130500000.0,131486000.0,135.83024634
131486000.0,132200000.0,131283000.0,131587000.0,162.88053906
131582000.0,131600000.0,130500000.0,130781000.0,181.75152829
130782000.0,130782000.0,128073000.0,129722000.0,817.82623793
129685000.0,130863000.0,129450000.0,130768000.0,364.08127386
130775000.0,130968000.0,128500000.0,128529000.0,313.65436771
128545000.0,128990000.0,127416000.0,128749000.0,897.03024696
128749000.0,129115000.0,128000000.0,128438000.0,421.16725778
