timestamp,open,high,low,close,volume
2025-11-13 07:00:00,153607000.0,153739000.0,153072000.0,153739000.0,48.20358995
2025-11-13 08:00:00,153742000.0,153836000.0,153125000.0,153300000.0,48.35311948
2025-11-13 09:00:00,153300000.0,154081000.0,153220000.0,153859000.0,61.73451651
2025-11-13 10:00:00,153859000.0,154673000.0,153800000.0,153845000.0,61.44203454
2025-11-13 11:00:00,153845000.0,154300000.0,153500000.0,153531000.0,39.89423711
2025-11-13 12:00:00,153554000.0,153950000.0,152000000.0,153400000.0,145.77828998
2025-11-13 13:00:00,153400000.0,153690000.0,152709000.0,153187000.0,68.93209087
2025-11-13 14:00:00,153186000.0,154554000.0,152687000.0,154186000.0,68.14887186
2025-11-13 15:00:00,154204000.0,154775000.0,153887000.0,154725000.0,68.09137534
2025-11-13 16:00:00,154726000.0,155271000.0,154355000.0,154438000.0,71.49058828
2025-11-13 17:00:00,154438000.0,154900000.0,154195000.0,154806000.0,69.79429895
2025-11-13 18:00:00,154763000.0,154882000.0,153251000.0,153500000.0,87.37881755
2025-11-13 19:00:00,153500000.0,154079000.0,153420000.0,153828000.0,62.02893302
2025-11-13 20:00:00,153829000.0,154000000.0,153622000.0,153790000.0,24.06632074
2025-11-13 21:00:00,153790000.0,154112000.0,153617000.0,153928000.0,32.51853862
2025-11-13 22:00:00,153928000.0,153928000.0,152600000.0,152750000.0,100.69745225
2025-11-13 23:00:00,152752000.0,154405000.0,152350000.0,153764000.0,175.82051212
2025-11-14 00:00:00,153764000.0,153810000.0,151795000.0,152000000.0,131.14542388
2025-11-14 01:00:00,152058000.0,152120000.0,151000000.0,151034000.0,113.088941
2025-11-14 02:00:00,151033000.0,151458000.0,150235000.0,150249000.0,137.93430337
2025-11-14 03:00:00,150249000.0,150595000.0,149000000.0,149353000.0,313.78206098
2025-11-14 04:00:00,149353000.0,150632000.0,149070000.0,149961000.0,141.9982585
2025-11-14 05:00:00,149960000.0,150742000.0,149374000.0,149893000.0,247.15952479
2025-11-14 06:00:00,149893000.0,150918000.0,149761000.0,150848000.0,154.25127018
2025-11-14 07:00:00,150848000.0,152100000.0,150787000.0,151789000.0,132.08513357
2025-11-14 08:00:00,151864000.0,152567000.0,151234000.0,151306000.0,105.92620441
2025-11-14 09:00:00,151314000.0,151619000.0,149289000.0,149628000.0,241.87075911
2025-11-14 10:00:00,149628000.0,150596000.0,149300000.0,150028000.0,124.66856107
2025-11-14 11:00:00,150028000.0,150739000.0,150000000.0,150492000.0,71.23481602
2025-11-14 12:00:00,150492000.0,150550000.0,149520000.0,149701000.0,95.99963375
2025-11-14 13:00:00,149701000.0,149920000.0,148000000.0,148398000.0,439.62608451
2025-11-14 14:00:00,148399000.0,148616000.0,147252000.0,147868000.0,349.22460901
2025-11-14 15:00:00,147868000.0,147875000.0,146138000.0,147680000.0,469.85876627
2025-11-14 16:00:00,147696000.0,148261000.0,147000000.0,147382000.0,244.22550086
2025-11-14 17:00:00,147382000.0,147825000.0,147085000.0,147711000.0,99.92079738
2025-11-14 18:00:00,147711000.0,147918000.0,147000000.0,147002000.0,120.7897933
2025-11-14 19:00:00,147002000.0,147308000.0,146430000.0,146443000.0,125.1942137
2025-11-14 20:00:00,146443000.0,146700000.0,145071000.0,145578000.0,442.09827454
2025-11-14 21:00:00,145578000.0,145586000.0,142950000.0,144151000.0,1036.57437902
2025-11-14 22:00:00,144151000.0,144430000.0,143008000.0,144026000.0,498.08315414
2025-11-14 23:00:00,144001000.0,146337000.0,143801000.0,146002000.0,484.685543
2025-11-15 00:00:00,146010000.0,147306000.0,145024000.0,146700000.0,240.30100289
2025-11-15 01:00:00,146700000.0,147508000.0,145998000.0,147010000.0,135.05832135
2025-11-15 02:00:00,147010000.0,147224000.0,145000000.0,145200000.0,89.7608559
2025-11-15 03:00:00,145200000.0,145955000.0,144100000.0,144103000.0,75.70520936
2025-11-15 04:00:00,144110000.0,145500000.0,143898000.0,145047000.0,105.80276798
2025-11-15 05:00:00,145043000.0,145461000.0,143235000.0,143354000.0,135.09278514
2025-11-15 06:00:00,143354000.0,144462000.0,143263000.0,144368000.0,106.58862226
2025-11-15 07:00:00,144368000.0,144940000.0,143870000.0,144457000.0,118.00111251
2025-11-15 08:00:00,144457000.0,144457000.0,143198000.0,143623000.0,244.70814075
2025-11-15 09:00:00,143623000.0,144904000.0,143489000.0,144360000.0,198.64274834
2025-11-15 10:00:00,144374000.0,145263000.0,143763000.0,145262000.0,132.19611883
