timestamp,open,high,low,close,volume,future_close_1h,change_pct_1h,direction_1h,future_close_24h,change_pct_24h,direction_24h,future_close_168h,change_pct_168h,direction_168h,price_direction
2023-03-12 23:00:00,27407000.0,27439000.0,27314000.0,27314000.0,246.65140385,27317000.0,0.010983378487222669,STABLE,30925000.0,13.220326572453686,UP,36171000.0,32.42659442044373,UP,STABLE
2023-03-13 00:00:00,27315000.0,27386000.0,27167000.0,27317000.0,224.09841386,27361000.0,0.16107186001391077,STABLE,31502000.0,15.320130321777647,UP,36522000.0,33.69696525972837,UP,STABLE
2023-03-13 01:00:00,27317000.0,27380000.0,27260000.0,27361000.0,103.43907585,27820000.0,1.6775702642447279,UP,31534000.0,15.251635539636709,UP,36892000.0,34.83425313402288,UP,UP
2023-03-13 02:00:00,27361000.0,27870000.0,27287000.0,27820000.0,330.64457413,28154000.0,1.2005751258087707,UP,31717000.0,14.007907979870597,UP,36956000.0,32.83968368080517,UP,UP
2023-03-13 03:00:00,27829000.0,28456000.0,27693000.0,28154000.0,465.84400821,27780000.0,-1.3284080414861121,DOWN,31875000.0,13.2165944448391,UP,37438000.0,32.97577608865525,UP,DOWN
2023-03-13 04:00:00,28167000.0,28308000.0,27730000.0,27780000.0,288.43605784,28386000.0,2.1814254859611233,UP,31891000.0,14.798416126709862,UP,37351000.0,34.4528437724982,UP,UP
2023-03-13 05:00:00,27791000.0,28454000.0,27736000.0,28386000.0,367.95215715,28350000.0,-0.12682308180088775,STABLE,31736000.0,11.801592334249278,UP,37051000.0,30.52561121679701,UP,STABLE
2023-03-13 06:00:00,28386000.0,28391000.0,28197000.0,28350000.0,261.85372911,28852000.0,1.7707231040564375,UP,31651000.0,11.64373897707231,UP,37170000.0,31.11111111111111,UP,UP
2023-03-13 07:00:00,28357000.0,29058000.0,28184000.0,28852000.0,1018.15041546,29199000.0,1.2026895882434492,UP,31819000.0,10.28351587411618,UP,37333000.0,29.3948426452239,UP,UP
2023-03-13 08:00:00,28852000.0,29300000.0,28676000.0,29199000.0,783.5727376,29752000.0,1.8939004760437,UP,31676000.0,8.483167231754512,UP,37233000.0,27.51464091236001,UP,UP
2023-03-13 09:00:00,29190000.0,29832000.0,29024000.0,29752000.0,1211.70095488,29628000.0,-0.4167787039526754,DOWN,31885000.0,7.16926593170207,UP,37018000.0,24.421887604194676,UP,DOWN
